ride_id,started_at,ended_at,duration_sec,start_station_id,start_station_name,start_lat,start_lon,end_station_id,end_station_name,end_lat,end_lon,start_lat_raw,start_lon_raw,end_lat_raw,end_lon_raw,member_casual,rideable_type,bike_id,birth_year,gender,source_file,start_match_type,end_match_type
9be13a777e8012142d3f5dabcc7eae40,2013-06-29 20:41:29.000,2013-06-29 20:46:21.000,292,66dc209c-0aca-11e7-82f6-3863bb44ef7c,W 22 St & 8 Ave,40.74475148,-73.99915362,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,W 29 St & 9 Ave,40.7500727,-73.99839279,40.74475148,-73.99915362,40.7500727,-73.99839279,member,,16486,1982,1,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
ebabb305bc0f8a16c32d0830601323a0,2013-06-29 20:41:37.000,2013-06-29 20:59:36.000,1079,66dc2172-0aca-11e7-82f6-3863bb44ef7c,1 Ave & E 44 St,40.75001986,-73.96905301,66db473c-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 36 St,40.75097711,-73.98765428,40.75001986,-73.96905301,40.75097711,-73.98765428,casual,,14968,,0,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
3880791730f5f831f2dadcbfcf19ac01,2013-06-29 20:41:44.000,2013-06-29 20:52:29.000,645,66dc24b8-0aca-11e7-82f6-3863bb44ef7c,W 20 St & 11 Ave,40.746745,-74.007756,66db3273-0aca-11e7-82f6-3863bb44ef7c,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,40.746745,-74.007756,40.72917025,-73.99810231,member,,16082,1968,1,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
01eaf431ec12f71db37792fc77960989,2013-06-29 20:41:31.000,2013-06-29 20:47:57.000,386,b30815c0-99b6-451b-be15-902992cb8abb,University Pl & E 14 St,40.734814,-73.992085,66dc3e89-0aca-11e7-82f6-3863bb44ef7c,E 31 St & 3 Ave,40.74394314,-73.97966069,40.73492695,-73.99200509,40.74394314,-73.97966069,member,,17734,1969,2,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
1521c897a6cb9c4db59f15ec074231c7,2013-06-29 20:41:34.000,2013-06-29 21:01:52.000,1218,66dc85bb-0aca-11e7-82f6-3863bb44ef7c,W 42 St & 8 Ave,40.7575699,-73.99098507,66dc741f-0aca-11e7-82f6-3863bb44ef7c,E 16 St & 5 Ave,40.73726186,-73.99238967,40.7575699,-73.99098507,40.73726186,-73.99238967,casual,,19073,,0,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
ac5d104604a5646694b753746ea62b12,2013-06-29 20:41:47.000,2013-06-29 20:59:47.000,1080,2039088532741595744,Front St & Pine St,40.70531,-74.00613,66dbf73d-0aca-11e7-82f6-3863bb44ef7c,Barclay St & Church St,40.71291224,-74.01020234,40.70530954,-74.00612572,40.71291224,-74.01020234,casual,,15205,,0,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
107d6fdcb6aa927152116adebacea2c2,2013-06-29 20:41:45.000,2013-06-29 20:46:15.000,270,66dc209c-0aca-11e7-82f6-3863bb44ef7c,W 22 St & 8 Ave,40.74475148,-73.99915362,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,W 29 St & 9 Ave,40.7500727,-73.99839279,40.74475148,-73.99915362,40.7500727,-73.99839279,member,,18240,1981,1,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
13d8b975c1f78127bf9cc55f8b41e059,2013-06-29 20:41:53.000,2013-06-29 20:46:16.000,263,66dc209c-0aca-11e7-82f6-3863bb44ef7c,W 22 St & 8 Ave,40.74475148,-73.99915362,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,W 29 St & 9 Ave,40.7500727,-73.99839279,40.74475148,-73.99915362,40.7500727,-73.99839279,member,,19159,1984,2,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
5c2e68ec4c48163381d1696de988e5d1,2013-06-29 20:41:52.000,2013-06-29 21:12:14.000,1822,66db269c-0aca-11e7-82f6-3863bb44ef7c,Franklin St & W Broadway,40.71911552,-74.00666661,66db8d89-0aca-11e7-82f6-3863bb44ef7c,Vesey Pl & River Terrace,40.7153379,-74.01658354,40.71911552,-74.00666661,40.7153379,-74.01658354,casual,,16853,,0,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
1b00068322e9b430bf7500b64d486c64,2013-06-29 20:41:54.000,2013-06-29 21:11:16.000,1762,66dbc745-0aca-11e7-82f6-3863bb44ef7c,Bayard St & Baxter St,40.71602118,-73.99974372,66db269c-0aca-11e7-82f6-3863bb44ef7c,Franklin St & W Broadway,40.71911552,-74.00666661,40.71602118,-73.99974372,40.71911552,-74.00666661,member,,15452,1972,1,2013-citibike-tripdata_201306-citibike-tripdata.csv,crosswalk,crosswalk
0716f7957413d3f8d8787fef5c050d8f,2017-01-31 08:58:49.000,2017-01-31 09:14:55.000,965,66db4671-0aca-11e7-82f6-3863bb44ef7c,Stanton St & Chrystie St,40.72229346,-73.99147535,66db4417-0aca-11e7-82f6-3863bb44ef7c,South St & Whitehall St,40.70122128,-74.01234218,40.72229346,-73.99147535,40.70122128,-74.01234218,member,,15975,1987,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
0fcb363cb386274386bee6cf6c2e5c05,2017-01-31 08:58:49.000,2017-01-31 09:02:27.000,217,66db3898-0aca-11e7-82f6-3863bb44ef7c,Spruce St & Nassau St,40.71146364,-74.00552427,66dbf667-0aca-11e7-82f6-3863bb44ef7c,Pearl St & Hanover Square,40.7047177,-74.00926027,40.71146364,-74.00552427,40.7047177,-74.00926027,member,,15861,1977,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
f468d121ecab9ee67905c889013945ce,2017-01-31 08:58:49.000,2017-01-31 09:16:23.000,1053,66dd4c5f-0aca-11e7-82f6-3863bb44ef7c,Columbus Ave & W 72 St,40.7770575,-73.97898475,66dbcb2f-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 37 St,40.75172632,-73.98753523,40.7770575,-73.97898475,40.75172632,-73.98753523,member,,18788,1980,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
dc92eb14b1a9af6b1b982aad2b4d995c,2017-01-31 08:58:50.000,2017-01-31 09:04:13.000,323,66dc42a0-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 45 St,40.76019252,-73.9912551,66dc82ef-0aca-11e7-82f6-3863bb44ef7c,W 43 St & 6 Ave,40.75527307,-73.98316936,40.76019252,-73.9912551,40.75527307,-73.98316936,member,,26037,1991,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
36274bce75634ee5274d886c071e8a7f,2017-01-31 08:58:51.000,2017-01-31 09:34:24.000,2133,1786375069262703476,Norman Ave & Leonard St,40.725819,-73.950815,632b140c-65de-4f50-9cc2-c001ae011aea,E 51 St & 2 Ave,40.755293,-73.967641,40.7258483,-73.95064893,40.756014,-73.967416,member,,18845,1981,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
48089416243e3b0ee0ca4a828637e07c,2017-01-31 08:58:53.000,2017-01-31 09:10:17.000,684,66dd4c5f-0aca-11e7-82f6-3863bb44ef7c,Columbus Ave & W 72 St,40.7770575,-73.97898475,66de2707-0aca-11e7-82f6-3863bb44ef7c,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,40.7770575,-73.97898475,40.76471851944339,-73.96222069859505,member,,18890,1956,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
84a67804b2cdf536290a8b6c9ca51e95,2017-01-31 08:58:54.000,2017-01-31 09:11:11.000,736,66db631c-0aca-11e7-82f6-3863bb44ef7c,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,66dc78c4-0aca-11e7-82f6-3863bb44ef7c,6 Ave & W 33 St,40.74901271,-73.98848395,40.7390169121,-74.0026376103,40.74854862,-73.98808416,member,,18414,1986,2,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
07d35df996eea0dc19b4c0cb22782b6d,2017-01-31 08:58:56.000,2017-01-31 09:08:34.000,578,66dc4bd9-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 29 St,40.7462009,-73.98855723,66ddb6d9-0aca-11e7-82f6-3863bb44ef7c,University Pl & E 8 St,40.73143724085228,-73.99490341544151,40.7462009,-73.98855723,40.73143724085228,-73.99490341544151,member,,15521,1987,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
3e3f19c6f5bf23437b757ab8e554e0dc,2017-01-31 08:58:55.000,2017-01-31 09:40:58.000,2522,27c71510-d515-4add-b660-6efd6f225cd1,Sterling Pl & 5 Ave,40.678970070475735,-73.97855266928671,66dc42a0-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 45 St,40.76019252,-73.9912551,40.6795766,-73.97854971,40.76019252,-73.9912551,member,,15108,1955,1,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
b2d6198b4749ed3c87ab5f3b7bcbb60f,2017-01-31 08:58:58.000,2017-01-31 09:10:32.000,694,66dc864c-0aca-11e7-82f6-3863bb44ef7c,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,66dc80b4-0aca-11e7-82f6-3863bb44ef7c,W 52 St & 5 Ave,40.75992262,-73.97648516,40.771522,-73.990541,40.75992262,-73.97648516,member,,20798,1985,2,2017-citibike-tripdata_201701-citibike-tripdata.csv_1.csv,crosswalk,crosswalk
4118C00E54B7FBCC,2021-01-27 12:39:52.529,2021-01-27 12:45:45.503,353,66db728c-0aca-11e7-82f6-3863bb44ef7c,Norfolk St & Broome St,40.7172274,-73.98802084,66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,-73.97948148,40.717227,-73.988021,40.712199,-73.979481,member,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
8735BF9688502202,2021-01-05 19:52:06.191,2021-01-05 20:04:06.844,721,66db728c-0aca-11e7-82f6-3863bb44ef7c,Norfolk St & Broome St,40.7172274,-73.98802084,66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,-73.97948148,40.717227,-73.988021,40.712199,-73.979481,member,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
2D273E53C6818013,2021-01-26 12:55:22.466,2021-01-26 12:59:49.972,268,66dde559-0aca-11e7-82f6-3863bb44ef7c,E 91 St & Park Ave,40.7835016,-73.955327,66dd41ef-0aca-11e7-82f6-3863bb44ef7c,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,40.783502,-73.955327,40.771183,-73.964094,member,electric_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
2FCC9B84F66F5EDF,2021-01-26 13:39:55.131,2021-01-26 13:59:18.567,1163,66dbe848-0aca-11e7-82f6-3863bb44ef7c,Centre St & Worth St,40.71494807,-74.00234482,3d835eaa-a102-42c5-b6c0-2c693b1d0677,Schermerhorn St & Court St,40.6910363748993,-73.99201065301895,40.714948,-74.002345,40.690238,-73.992031,member,electric_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
54AB6223E3127BA2,2021-01-27 17:36:45.932,2021-01-27 17:56:40.895,1195,70634bc4-4d90-42d4-8f6a-3f29fa8f7f77,E 50 St & Park Ave,40.757334,-73.974235,66db2a71-0aca-11e7-82f6-3863bb44ef7c,Barrow St & Hudson St,40.73172428,-74.00674436,40.757334,-73.974235,40.73172428,-74.00674436,member,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
C0A1995B5B340DD5,2021-01-22 17:32:35.448,2021-01-22 17:42:57.878,622,43eac213-4603-4bc2-b6d6-b45013396282,Jay St & York St,40.701403172577244,-73.98672670125961,3d835eaa-a102-42c5-b6c0-2c693b1d0677,Schermerhorn St & Court St,40.6910363748993,-73.99201065301895,40.701403,-73.986727,40.690238,-73.992031,member,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
7E546A3CCFC47ABB,2021-01-30 15:54:45.491,2021-01-30 16:09:35.860,890,66dc4599-0aca-11e7-82f6-3863bb44ef7c,S 3 St & Bedford Ave,40.71260486,-73.96264403,8ea09819-cd88-4732-b047-c0549f0b370f,Delancey St & Eldridge St,40.719383,-73.991479,40.712605,-73.962644,40.719383,-73.991479,member,electric_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
3BA7C53DF3DEE699,2021-01-12 19:37:08.193,2021-01-12 20:00:53.283,1425,70634bc4-4d90-42d4-8f6a-3f29fa8f7f77,E 50 St & Park Ave,40.757334,-73.974235,8ea09819-cd88-4732-b047-c0549f0b370f,Delancey St & Eldridge St,40.719383,-73.991479,40.757334,-73.974235,40.719383,-73.991479,member,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
E282D4A628A4AE59,2021-01-01 00:00:35.365,2021-01-01 00:16:34.601,959,1954806962718223342,Pearl St & Whitehall St,40.703144,-74.013178,66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,-73.97948148,40.702551,-74.012723,40.712199,-73.979481,casual,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
DF5B47199E6088BF,2021-01-07 00:05:11.984,2021-01-07 00:21:18.633,967,1954806962718223342,Pearl St & Whitehall St,40.703144,-74.013178,66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,-73.97948148,40.702551,-74.012723,40.712199,-73.979481,casual,classic_bike,,,,202101-citibike-tripdata_202101-citibike-tripdata_1.csv,crosswalk,crosswalk
1C6550A24DA18042,2024-01-05 13:30:21.541,2024-01-05 13:33:53.122,212,3e9e50cc-f336-439f-bd0b-dec5499c038d,Albany St & Greenwich St,40.709267,-74.013247,18fcd2c1-dc8b-4a52-9f18-e9b9003bbea5,Park Pl & Church St,40.71334184275907,-74.00935515761375,40.709267,-74.013247,40.71334184275907,-74.00935515761375,member,classic_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
29090AD0705F7983,2024-01-02 17:57:01.805,2024-01-02 18:04:45.395,464,66dc1702-0aca-11e7-82f6-3863bb44ef7c,St Marks Pl & 1 Ave,40.72779126,-73.98564945,53e30d38-a110-42b4-a8f9-ca801a847ac7,Greene St & Prince St,40.72511734422387,-73.99930492043495,40.72779126,-73.98564945,40.72511734422387,-73.99930492043495,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
AD5DD9452E1E76E9,2024-01-12 11:45:20.012,2024-01-12 11:54:02.597,523,81640d04-c36a-4fb1-98b0-85be10be516c,Schenectady Ave & Pacific St,40.67686,-73.93327,5e93b806-08e1-4ef9-98ae-d3dda20e0469,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376,40.67686,-73.93327,40.66876,-73.93376,member,classic_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
4B27E37ED44B6D33,2024-01-05 12:30:24.384,2024-01-05 12:38:57.834,513,66db6da2-0aca-11e7-82f6-3863bb44ef7c,Broadway & Battery Pl,40.70463334,-74.01361706,66db64d1-0aca-11e7-82f6-3863bb44ef7c,Madison St & Montgomery St,40.713126,-73.984844,40.70463334,-74.01361706,40.713126,-73.984844,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
2C2A0A6340ADDD81,2024-01-07 16:58:18.250,2024-01-07 17:03:47.722,329,7b0227aa-bbf5-4731-a49a-765b4afac483,E 1 St & 1 Ave,40.72335597960796,-73.98864984512329,53e30d38-a110-42b4-a8f9-ca801a847ac7,Greene St & Prince St,40.72511734422387,-73.99930492043495,40.72335597960796,-73.98864984512329,40.72511734422387,-73.99930492043495,casual,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
454F91DF678D33C5,2024-01-13 11:09:09.289,2024-01-13 11:21:18.367,729,fd081854-3f37-420a-9785-ea63c09c12ad,Halsey St & Broadway,40.68565,-73.91564,20f3a578-4dfa-45ca-a917-b394d77ee08e,Greene Ave & Myrtle Ave,40.698568,-73.918877,40.68565,-73.91564,40.698568,-73.918877,casual,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
2BDF57B8528431AF,2024-01-12 17:48:04.168,2024-01-12 18:01:41.562,817,5c3c345d-1975-400d-a9d8-18815816886e,5 Ave & E 30 St,40.7459849,-73.98629487,53e30d38-a110-42b4-a8f9-ca801a847ac7,Greene St & Prince St,40.72511734422387,-73.99930492043495,40.7459849,-73.98629487,40.72511734422387,-73.99930492043495,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
B4E446E0E3BC9A1A,2024-01-10 16:05:39.961,2024-01-10 16:37:19.204,1899,66db6da2-0aca-11e7-82f6-3863bb44ef7c,Broadway & Battery Pl,40.70463334,-74.01361706,5e93b806-08e1-4ef9-98ae-d3dda20e0469,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376,40.70463334,-74.01361706,40.66876,-73.93376,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
44D1A531750A027E,2024-01-08 17:28:14.176,2024-01-08 17:48:03.259,1189,78e93937-53d1-4c9b-99ad-0460f908ed2d,Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389,8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,Caton Ave & E 7 St,40.647718,-73.973663,40.69535693320225,-73.99344027042389,40.647718,-73.973663,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
DA4AEB85AC7D4F2A,2024-01-14 11:16:45.695,2024-01-14 11:32:58.696,973,a35d03cf-bd72-4da4-a4ac-bd25b3f8dce3,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,20f3a578-4dfa-45ca-a917-b394d77ee08e,Greene Ave & Myrtle Ave,40.698568,-73.918877,40.69064807082943,-73.95746178925037,40.698568,-73.918877,member,classic_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
